date,DCCI,DCCI_AHE,PCU236211236211,PCU236221236221,PCU236223236223,WPU801
2006-03-01,82.35739898842616,81.21193372364932,,78.29512893982809,,
2006-04-01,83.34011218549038,82.18520627292693,,79.36962750716332,,
2006-05-01,84.2146078710559,83.07795345584799,,79.36962750716332,,
2006-06-01,84.8257345298525,83.69646560689344,,79.36962750716332,79.87220447284345,
2006-07-01,85.68727625199173,84.56503493532384,,80.94555873925502,81.54952076677316,
2006-08-01,86.28545359778735,85.2452235917604,,80.94555873925502,81.54952076677316,
2006-09-01,86.50406607958946,85.5369423171477,,80.94555873925502,81.54952076677316,
2006-10-01,86.71377823696345,85.82581255958371,,83.2378223495702,83.78594249201278,
2006-11-01,86.36589229235842,85.41908606957016,,83.30945558739256,83.70607028753993,
2006-12-01,86.75898478431972,85.74017340491082,,83.2378223495702,83.70607028753993,
2007-01-01,87.08299978234562,86.00745187135662,,84.16905444126076,85.1437699680511,
2007-02-01,87.50915325321569,86.38467817374955,,84.16905444126076,85.1437699680511,
2007-03-01,87.80380333087989,86.63273478137464,,84.16905444126076,85.06389776357828,
2007-04-01,89.00455104989568,87.78309837684392,,84.2406876790831,85.62300319488818,
2007-05-01,89.54939514260909,88.34081832028566,,84.2406876790831,85.62300319488818,
2007-06-01,89.26742043653744,88.07756743403914,85.03401360544218,84.16905444126076,85.54313099041534,
2007-07-01,89.51942322598053,88.33901103049512,85.62925170068027,85.5300859598854,85.94249201277955,
2007-08-01,90.10014016452732,88.98089204651617,85.71428571428572,85.5300859598854,85.94249201277955,
2007-09-01,90.45163085627352,89.3855160757411,85.62925170068027,85.5300859598854,85.94249201277955,
2007-10-01,90.16063975816022,89.160500124787,87.15986394557824,86.96275071633238,87.69968051118211,
2007-11-01,90.62131679740872,89.55944820219405,87.15986394557824,87.03438395415472,87.61980830670927,
2007-12-01,91.74127659299576,90.60655054060813,87.0748299319728,86.96275071633238,87.69968051118211,
2008-01-01,91.98528461483684,90.80274535800787,87.41496598639455,87.10601719197709,87.93929712460063,
2008-02-01,92.23425486671648,90.9899771639321,87.41496598639455,87.10601719197709,87.93929712460063,
2008-03-01,93.17539762571097,91.8722576745282,87.41496598639455,87.10601719197709,88.01916932907349,
2008-04-01,93.52693349574909,92.16651501831831,87.75510204081634,87.67908309455588,88.17891373801918,
2008-05-01,94.81085860969122,93.57080792924761,87.67006802721087,87.67908309455588,88.17891373801918,
2008-06-01,95.03347682872626,93.92316251510368,87.67006802721087,87.67908309455588,88.17891373801918,
2008-07-01,96.01739528116565,95.02726061444133,89.88095238095238,89.18338108882521,89.29712460063898,
2008-08-01,96.52063454227293,95.67720978860899,89.88095238095238,89.18338108882521,89.29712460063898,
2008-09-01,96.60850633702003,95.91789325720399,89.96598639455783,89.18338108882521,89.29712460063898,
2008-10-01,95.48589231696803,94.95180008092044,93.96258503401361,92.47851002865329,93.05111821086261,
2008-11-01,94.03005962017241,93.56546682834377,93.87755102040816,92.47851002865329,93.05111821086261,
2008-12-01,93.5334065839738,93.13549110156718,93.87755102040816,92.40687679083095,93.05111821086261,
2009-01-01,93.06131589719658,92.73810719517205,95.06802721088435,93.83954154727793,94.3290734824281,
2009-02-01,92.53037827687396,92.16795092609851,95.06802721088435,93.62464183381088,94.24920127795528,
2009-03-01,91.91344316031676,91.50895779744332,94.30272108843538,93.55300859598854,94.24920127795528,
2009-04-01,91.68707851300285,91.24381558943216,93.02721088435375,92.55014326647564,93.61022364217251,
2009-05-01,91.30951902761271,90.9002273272953,93.02721088435375,92.621776504298,93.370607028754,
2009-06-01,91.51827530433532,91.14231122671158,92.17687074829934,92.26361031518626,93.29073482428115,91.15770282588879
2009-07-01,91.51787689485724,91.17332236723998,89.62585034013605,89.04011461318052,90.49520766773162,89.4257064721969
2009-08-01,92.12020706384949,91.88138931813737,89.45578231292518,89.04011461318052,90.41533546325878,89.24339106654513
2009-09-01,92.0066955780899,91.87510964472652,89.28571428571429,88.75358166189112,90.0958466453674,88.96991795806744
2009-10-01,92.53382489480508,92.50986603422123,89.79591836734694,88.68194842406876,90.01597444089457,89.15223336371922
2009-11-01,92.39098341673298,92.38179715580385,89.62585034013605,88.68194842406876,90.01597444089457,89.06107566089334
2009-12-01,93.05830966099549,93.06391020593337,89.45578231292518,88.61031518624642,89.93610223642172,88.96991795806744
2010-01-01,93.41350209646619,93.43396059377336,89.45578231292518,88.46704871060173,89.93610223642172,89.15223336371922
2010-02-01,93.66550626732074,93.55682834618376,89.37074829931973,88.32378223495702,89.93610223642172,89.15223336371922
2010-03-01,94.01983391807032,93.78272280289116,89.20068027210885,88.25214899713467,89.69648562300318,88.96991795806744
2010-04-01,94.28450393592908,93.92122649371223,89.37074829931973,88.32378223495702,89.69648562300318,89.24339106654513
2010-05-01,94.32594601314582,93.9677405420097,89.37074829931973,88.32378223495702,89.69648562300318,89.24339106654513
2010-06-01,94.04706403685623,93.69590180093562,89.20068027210885,88.32378223495702,89.69648562300318,89.15223336371922
2010-07-01,94.10893489191879,93.76058332107407,89.54081632653062,88.53868194842407,89.77635782747603,89.24339106654513
2010-08-01,94.16987943244033,93.95084913901077,89.54081632653062,88.46704871060173,89.69648562300318,89.15223336371922
2010-09-01,94.36075585065744,94.27212289828434,89.54081632653062,88.46704871060173,89.61661341853035,89.15223336371922
2010-10-01,94.60990734078389,94.65239243381703,89.79591836734694,88.89684813753581,89.93610223642172,89.51686417502279
2010-11-01,94.64084251752787,94.70242182873059,89.79591836734694,88.89684813753581,89.69648562300318,89.4257064721969
2010-12-01,95.09962369247168,95.18093369939325,89.79591836734694,88.96848137535818,89.69648562300318,89.4257064721969
2011-01-01,95.77711970912499,95.87767457893541,89.88095238095238,89.11174785100287,90.17571884984025,89.88149498632635
2011-02-01,96.53358387534205,96.45536985184131,89.62585034013605,89.11174785100287,90.33546325878594,89.79033728350045
2011-03-01,97.33043543560552,97.07471738362992,89.62585034013605,89.11174785100287,90.41533546325878,89.88149498632635
2011-04-01,97.61037661597327,97.17801212253573,90.39115646258503,89.82808022922637,91.13418530351437,90.61075660893346
2011-05-01,97.44178651332483,97.04382226946926,90.39115646258503,89.82808022922637,91.05431309904152,90.61075660893346
2011-06-01,97.32054478002496,96.95672162346011,90.39115646258503,89.82808022922637,91.05431309904152,90.61075660893346
2011-07-01,97.82300243531614,97.49042483753773,91.58163265306123,90.90257879656161,91.93290734824281,91.61349134001823
2011-08-01,98.07714528495343,97.76228784533969,91.58163265306123,90.90257879656161,92.01277955271566,91.70464904284411
2011-09-01,98.14975758630344,97.85442941750843,91.49659863945578,90.90257879656161,91.93290734824281,91.61349134001823
2011-10-01,97.71556688833618,97.43997141463225,92.77210884353741,92.33524355300861,93.05111821086261,92.98085688240656
2011-11-01,97.66297338871452,97.41684393826773,92.68707482993199,92.33524355300861,93.21086261980831,93.07201458523244
2011-12-01,97.65092779325366,97.43182493917656,92.43197278911566,92.33524355300861,93.13099041533546,92.98085688240656
2012-01-01,97.74355506965232,97.55417420011048,93.02721088435375,92.83667621776505,93.84984025559106,93.61896080218779
2012-02-01,98.49835972254392,98.21541506987658,93.11224489795919,92.83667621776505,93.84984025559106,93.61896080218779
2012-03-01,98.56548781025167,98.18839711271221,93.28231292517007,93.12320916905445,93.84984025559106,93.71011850501367
2012-04-01,98.79149218346555,98.32285678766627,93.62244897959184,93.69627507163325,94.24920127795528,94.16590701914312
2012-05-01,98.69493674171687,98.22415071154266,93.5374149659864,93.98280802292264,94.24920127795528,94.16590701914312
2012-06-01,98.1651845226173,97.69281579158176,93.45238095238096,93.98280802292264,94.24920127795528,94.16590701914312
2012-07-01,98.07366868086478,97.5958196336214,93.45238095238096,94.19770773638969,94.24920127795528,94.16590701914312
2012-08-01,98.0867675678405,97.6825547682728,93.45238095238096,94.34097421203438,94.24920127795528,94.257064721969
2012-09-01,98.38006358193248,98.04746603140877,93.28231292517007,94.34097421203438,94.16932907348243,94.16590701914312
2012-10-01,98.18281066492092,97.92574816082362,93.70748299319729,94.69914040114614,94.3290734824281,94.3482224247949
2012-11-01,98.02031245238541,97.73726467901552,93.70748299319729,94.69914040114614,94.3290734824281,94.3482224247949
2012-12-01,98.59889106703368,98.28727753443589,93.70748299319729,94.69914040114614,94.3290734824281,94.3482224247949
2013-01-01,98.73592272529321,98.39963544609407,94.30272108843538,95.48710601719199,94.80830670926518,94.80401093892434
2013-02-01,98.94243639837606,98.49557421891157,94.30272108843538,95.27220630372493,94.80830670926518,94.80401093892434
2013-03-01,99.04310210350454,98.48767408572314,94.38775510204081,95.27220630372493,94.80830670926518,94.71285323609845
2013-04-01,99.2521943156321,98.5880242377248,94.89795918367346,95.70200573065902,95.0479233226837,95.1686417502279
2013-05-01,99.05517624956235,98.39561552011324,94.98299319727892,96.48997134670486,94.96805111821087,95.25979945305379
2013-06-01,98.82827653482269,98.17255009969794,95.06802721088435,96.48997134670486,95.0479233226837,95.25979945305379
2013-07-01,99.02473813826099,98.36754138713356,95.57823129251702,96.99140401146133,95.52715654952077,95.80674567000911
2013-08-01,99.04888133667829,98.45866679188886,95.57823129251702,96.99140401146133,95.44728434504792,95.80674567000911
2013-09-01,98.72154687263613,98.19712233588673,95.74829931972789,96.99140401146133,95.44728434504792,95.98906107566089
2013-10-01,98.98816478375431,98.53184371379925,97.53401360544218,97.06303724928367,96.88498402555909,97.26526891522333
2013-11-01,99.25188800835079,98.90225319030867,97.44897959183673,97.42120343839542,96.88498402555909,97.35642661804921
2013-12-01,99.29668876319921,99.05058983427509,97.53401360544218,97.42120343839542,96.96485623003196,97.44758432087511
2014-01-01,99.5422096365224,99.40449219461813,98.04421768707483,97.99426934097423,97.52396166134186,97.99453053783044
2014-02-01,100.23657872416021,100.01723930629716,98.04421768707483,97.92263610315186,97.52396166134186,98.08568824065634
2014-03-01,99.66858076209715,99.37154568334164,98.12925170068029,98.35243553008597,97.52396166134186,98.08568824065634
2014-04-01,99.77374605710085,99.39684619615598,98.29931972789116,98.49570200573066,97.92332268370606,98.35916134913401
2014-05-01,100.13288586272988,99.73663748720487,98.29931972789116,98.63896848137536,97.92332268370606,98.4503190519599
2014-06-01,100.01640541183718,99.60025582601162,98.38435374149661,98.71060171919773,97.92332268370606,98.54147675478578
2014-07-01,100.26860108219707,99.83108343011082,98.89455782312926,99.21203438395416,98.40255591054313,98.81494986326345
2014-08-01,100.15610338601158,99.77155379628653,98.89455782312926,99.14040114613182,98.40255591054313,98.90610756608933
2014-09-01,100.52227012344397,100.18923652627254,98.9795918367347,99.06876790830947,98.40255591054313,98.90610756608933
2014-10-01,100.65870961410992,100.3797047725107,99.40476190476191,99.5702005730659,99.20127795527156,99.45305378304467
2014-11-01,100.48254210456923,100.29633143829248,99.48979591836735,99.49856733524356,99.04153354632588,99.45305378304467
2014-12-01,100.49403653709055,100.4005854730456,99.40476190476191,99.64183381088824,99.04153354632588,99.54421148587056
2015-01-01,100.00000000000003,100.00000000000003,100.0,100.0,100.0,100.0
2015-02-01,100.06996123410379,100.00977320120083,100.0,100.0,100.0,100.0
2015-03-01,100.4152481337064,100.29389448449415,100.08503401360545,100.0,100.0,100.0
2015-04-01,100.37818606953964,100.19635555596346,99.91496598639456,99.8567335243553,100.15974440894568,100.0
2015-05-01,100.35857025788042,100.14288403432991,100.17006802721089,99.92836676217766,100.15974440894568,100.09115770282588
2015-06-01,100.23376811053322,99.98466775557581,100.17006802721089,100.2865329512894,100.07987220447284,100.09115770282588
2015-07-01,100.06787461890023,99.78355632544141,100.93537414965988,100.85959885386822,100.79872204472844,100.63810391978123
2015-08-01,100.11720123949806,99.8779020199179,100.85034013605443,100.85959885386822,100.79872204472844,100.72926162260711
2015-09-01,99.73815842794782,99.54568767700572,100.68027210884354,100.93123209169055,100.79872204472844,100.72926162260711
2015-10-01,99.71217215363146,99.56513384149517,101.36054421768708,101.86246418338108,101.75718849840256,101.64083865086599
2015-11-01,99.38003046178856,99.27334047033473,101.44557823129252,101.79083094555874,101.6773162939297,101.5496809480401
2015-12-01,99.25228133647074,99.1862351600824,101.61564625850342,101.79083094555874,101.59744408945687,101.64083865086599
2016-01-01,98.90553466525395,98.88056292676917,101.27551020408163,101.50429799426934,101.59744408945687,101.18505013673655
2016-02-01,98.97384256845065,98.92845444203007,101.19047619047619,101.50429799426934,101.43769968051117,101.18505013673655
2016-03-01,99.2946793397236,99.22829579711751,101.19047619047619,101.36103151862466,101.19808306709265,101.09389243391067
2016-04-01,99.53272152276406,99.44564231073387,101.87074829931973,102.72206303724928,102.31629392971244,102.09662716499544
2016-05-01,99.68943975991354,99.66916219190367,101.44557823129252,102.57879656160458,102.3961661341853,102.00546946216956
2016-06-01,99.52283029792844,99.56939781035734,101.36054421768708,102.72206303724928,102.3961661341853,102.09662716499544
2016-07-01,99.58656782506534,99.70064763641757,100.51020408163266,102.07736389684814,102.23642172523961,101.36736554238833
2016-08-01,99.95654367679376,100.0774836767625,100.51020408163266,102.07736389684814,102.23642172523961,101.36736554238833
2016-09-01,99.6892686436322,99.81740917211914,100.68027210884354,102.07736389684814,102.15654952076679,101.36736554238833
2016-10-01,99.8762258823507,100.01162359944247,101.53061224489797,103.15186246418338,102.9552715654952,102.27894257064722
2016-11-01,99.54684711140227,99.66678922821808,101.53061224489797,103.15186246418338,103.03514376996804,102.18778486782132
2016-12-01,100.61949062480923,100.72510874911134,101.61564625850342,103.08022922636104,102.9552715654952,102.09662716499544
2017-01-01,100.98739548779253,101.07804430709405,101.95578231292517,103.4383954154728,103.5143769968051,102.461257976299
2017-02-01,100.93264210035744,100.98627032280444,101.95578231292517,103.51002865329512,103.5143769968051,102.461257976299
2017-03-01,101.04656257283719,101.06355632189465,102.04081632653062,103.65329512893982,103.5143769968051,102.55241567912488
2017-04-01,101.4430580180977,101.42316006587453,102.72108843537416,104.58452722063039,103.91373801916932,103.09936189608023
2017-05-01,101.45228927885736,101.50756233452263,102.8061224489796,104.58452722063039,103.99361022364215,103.1905195989061
2017-06-01,101.500268452906,101.63112562962002,102.72108843537416,104.87106017191978,104.07348242811503,103.28167730173199
2017-07-01,101.5523659149215,101.75994530738363,104.93197278911566,106.16045845272207,104.9520766773163,104.74020054694621
2017-08-01,102.08921404072309,102.32807008208415,104.76190476190477,106.23209169054442,105.11182108626198,104.74020054694621
2017-09-01,102.55920435082145,102.83138568839998,104.84693877551021,106.30372492836678,105.11182108626198,104.74020054694621
2017-10-01,102.8156099971373,103.11738271887955,105.44217687074831,106.66189111747852,105.59105431309904,105.28714676390155
2017-11-01,102.9521643565511,103.26806142336284,105.52721088435375,106.51862464183381,105.59105431309904,105.28714676390155
2017-12-01,103.44731778021092,103.78062129804017,105.6122448979592,106.73352435530086,105.67092651757189,105.28714676390155
2018-01-01,103.69193911584648,104.03927140758373,106.54761904761905,107.5214899713467,106.54952076677317,106.19872379216045
2018-02-01,104.23630312236278,104.50822583860901,106.54761904761905,107.59312320916905,106.54952076677317,106.19872379216045
2018-03-01,105.12429969280946,105.31938244580176,106.54761904761905,107.59312320916905,106.629392971246,106.28988149498633
2018-04-01,106.0263337242716,106.14524202890054,107.73809523809526,108.30945558739256,108.14696485623003,107.56608933454876
2018-05-01,106.96682221548224,107.18594378823678,107.73809523809526,108.30945558739256,108.30670926517571,107.65724703737465
2018-06-01,107.01388987368064,107.33319711194875,107.99319727891157,108.59598853868195,108.62619808306708,107.83956244302644
2018-07-01,107.64946541926167,108.07314153383518,108.58843537414967,108.88252148997135,109.18530351437698,108.29535095715588
