group,component,weight,price_growth_%,contribution_pp
Electrical,Switchgear,0.14,81.7744014732965,11.448416206261513
Electrical,Transformers,0.06,85.84344422700588,5.150606653620352
Electrical,Power cable,0.08,127.43146956952005,10.194517565561604
Electrical,Gensets,0.07,28.178336325553577,1.9724835427887506
Mechanical,Cooling plant,0.13,59.11018609206662,7.684324191968661
Structure,Fab. structural metal,0.08,79.18903940886699,6.335123152709359
Structure,Steel shapes,0.05,63.63544973544975,3.1817724867724873
Structure,Ready-mix concrete,0.06,40.27783595113439,2.4166701570680633
Labour,Labour,0.33,25.85163787510203,8.53104049878367
