component,+50%,-50%,range_pp
Cooling plant,7.138797379201622,7.099430254196926,0.039367125004696746
Fab. structural metal,7.21544982418274,7.016758058062678,0.19869176612006267
Gensets,7.027702782991985,7.218865531405294,0.19116274841330938
Labour,6.647330992707778,7.768553740446871,1.1212227477390924
Power cable,7.39330169195942,6.8216553853257755,0.5716463066336441
Ready-mix concrete,7.067937326300777,7.176262648553089,0.10832532225231173
Steel shapes,7.136382641597816,7.103804606635378,0.032578034962438274
Switchgear,7.292896077365096,6.920513915036697,0.3723821623283996
Transformers,7.208734532989669,7.026391644748875,0.18234288824079403
