h,split,model,pred,actual,err
1,2017-04,Random walk (no change),0.0,0.0281903511283765,0.0281903511283765
1,2017-04,Drift (24m mean),0.0439696786861139,0.0281903511283765,-0.0157793275577374
1,2017-04,"ARIMA(1,1,1)",0.0903073750677663,0.0281903511283765,-0.0621170239393897
1,2017-04,Ridge,0.1084740518101725,0.0281903511283765,-0.0802837006817959
1,2017-04,SVR (RBF),0.1059207203150072,0.0281903511283765,-0.0777303691866307
1,2017-04,Random forest,0.1175224188126654,0.0281903511283765,-0.0893320676842888
1,2017-04,Gradient boosting,0.1709312666213308,0.0281903511283765,-0.1427409154929543
1,2017-06,Random walk (no change),0.0,0.2892817563291405,0.2892817563291405
1,2017-06,Drift (24m mean),0.0523179348615861,0.2892817563291405,0.2369638214675543
1,2017-06,"ARIMA(1,1,1)",0.0865551574059395,0.2892817563291405,0.202726598923201
1,2017-06,Ridge,-0.1713722411845412,0.2892817563291405,0.4606539975136818
1,2017-06,SVR (RBF),-0.0034265034524689,0.2892817563291405,0.2927082597816094
1,2017-06,Random forest,0.0357281619808276,0.2892817563291405,0.2535535943483128
1,2017-06,Gradient boosting,0.0084286281695866,0.2892817563291405,0.2808531281595539
1,2017-08,Random walk (no change),0.0,0.3545055626663629,0.3545055626663629
1,2017-08,Drift (24m mean),0.0812731931184991,0.3545055626663629,0.2732323695478637
1,2017-08,"ARIMA(1,1,1)",0.0441183895616177,0.3545055626663629,0.3103871731047452
1,2017-08,Ridge,0.1162713785120756,0.3545055626663629,0.2382341841542873
1,2017-08,SVR (RBF),-0.0457135450265635,0.3545055626663629,0.4002191076929264
1,2017-08,Random forest,0.1699465426220598,0.3545055626663629,0.184559020044303
1,2017-08,Gradient boosting,0.0732953599020681,0.3545055626663629,0.2812102027642947
1,2017-10,Random walk (no change),0.0,0.3062643224226669,0.3062643224226669
1,2017-10,Drift (24m mean),0.1277059683294723,0.3062643224226669,0.1785583540931945
1,2017-10,"ARIMA(1,1,1)",0.2641442099629785,0.3062643224226669,0.0421201124596883
1,2017-10,Ridge,0.0206263094733636,0.3062643224226669,0.2856380129493032
1,2017-10,SVR (RBF),0.0327236048545438,0.3062643224226669,0.273540717568123
